no,Name,trainer/epoch,val/acc,val/auc,val/cls_confmat_00,val/cls_confmat_01,val/cls_confmat_10,val/cls_confmat_11,val/dice,val/iou,val/multi,val/loss,architecture,lr_scheduler,calibration_method,State,Created,Runtime,Sweep,T_max,batch_size,alpha,beta,cal_auc_floor,cal_bootstraps,cal_ema_beta,cal_fallback,cal_init_threshold,cal_max_delta,cal_min_tp,cal_q_bounds,cal_rate_tolerance,cal_warmup_epochs,class_balance,cls_decision,cls_loss,cls_threshold,console_epoch_log,console_iter_log,debug,debug_transforms,dropout_rate,epochs,eta_min,factor,in_channels,input_shape,log_calibrated,lr,mlp_dim,multi_weight,num_classes,num_heads,num_layers,num_workers,optimizer,param_groups,patience,plateau_metric,plateau_mode,positive_index,run_cap,seed,task,threshold,two_pass_val,warmup_epochs,warmup_start_factor,weight_decay,plateau_threshold,head_keys,head_lr_scale,head_wd_scale,opt/lr,train/loss,train/lr,trainer/iteration,val/cal_thr,val/cls_confmat,val/gt_pos_rate,val/pos_rate,val/prec,val/recall,val/recall_0,val/recall_1,val/threshold,val/bal_acc,val/debug_pos_hist,val/debug_pos_max,val/debug_pos_median,val/debug_pos_min,val/debug_pos_q10,val/debug_pos_q90,val/debug_pos_rate@0.5,val/f1,val/search_threshold,val/score_mean,val/score_std,enable_decision_health,head_logits,health_iters_warmup,health_rate_gain,health_warmup,health_warmup_max_delta,init_head_bias_from_prior,init_threshold_from_prior,rate_tol_override,thr_hysteresis,thr_max,thr_min,thr_min_tn,thr_min_tp,thr_posrate_max,thr_posrate_min,thr_warmup_epochs,val/precision_macro,val/precision_pos,val/recall_macro,val/recall_pos,val/search_auc,val/search_confmat_00,val/search_confmat_01,val/search_confmat_10,val/search_confmat_11,val/search_pos_rate,seg_threshold,val/seg_confmat_00,val/seg_confmat_01,val/seg_confmat_10,val/seg_confmat_11,val/dice_0,val/dice_1,val/iou_0,val/iou_1,val/multi_0,val/multi_1
1,rosy-sweep-23,40,0.6518650088809950,0.735571413688926,297,34,162,70,,,,0.6355771786636780,vit,cosine,f1,finished,2025-09-18T21:37:10.000Z,14502,pmrqwklq,40.0,64,,,0.5,,0.2,,,0.2,,,,,,threshold,bce,0.6,,,,,0.216197756381666,40,0.0,0.5,1,"[256,256]",,3.57491318799E-05,2048.0,,2,12.0,12.0,8,adamw,split,10.0,val/auc,max,,,,classification,,TRUE,0,0.1,1.07088062819E-05,0.0001,mlp_head,1.5,1.5,0.0,0.6309199333190920,5.51013214581381E-08,1640,,"[[297,34],[162,70]]",0.4120781527531080,,,,,,,0.5995025634765630,,,,,,,,,0.6,0.3562828004360200,0.2547991573810580,,1.0,,,,,TRUE,,0.1,0.01,0.95,0.05,5.0,10.0,0.95,0.05,5.0,0.6600678733031680,0.6730769230769230,0.599502552349203,0.3017241379310350,0.735571413688926,297.0,34.0,162.0,70.0,0.1847246891651870,,,,,,,,,,,
2,fancy-sweep-22,40,0.6767317939609240,0.7343473278466510,230,101,81,151,,,,0.6321566436025830,vit,cosine,f1,finished,2025-09-18T17:35:29.000Z,14478,pmrqwklq,40.0,64,,,0.5,,0.1,,,0.2,,,,,,threshold,bce,0.6,,,,,0.2266473182684690,40,0.0,0.3,1,"[256,256]",,0.0001210157560671,1536.0,,2,12.0,10.0,8,adamw,split,10.0,val/auc,max,,,,classification,,TRUE,0,0.1,1.10746629237E-05,0.0001,classifier,1.5,1.5,0.0,0.5768308043479920,1.8652559449413E-07,1640,,"[[230,101],[81,151]]",0.4120781527531080,,,,,,,0.6728630661964420,,,,,,,,,0.6,0.4713082611560820,0.2619920372962950,,1.0,,,,,TRUE,,0.1,0.02,0.95,0.05,5.0,10.0,0.95,0.05,5.0,0.6693780942173230,0.5992063492063490,0.6728630586519430,0.6508620689655170,0.7343473278466510,230.0,101.0,81.0,151.0,0.4476021314387210,,,,,,,,,,,
3,graceful-sweep-21,40,0.6198934280639430,0.6673351390769870,256,75,139,93,,,,0.6507916384273110,vit,warmcos,bal_acc,finished,2025-09-18T13:51:11.000Z,13432,pmrqwklq,40.0,32,,,0.5,,0.1,,,0.05,,,,,,threshold,bce,0.6,,,,,0.2082439800174160,40,0.0,0.3,1,"[256,256]",,0.000296078842628,1536.0,,2,8.0,8.0,8,adamw,auto,10.0,val/auc,max,,,,classification,,TRUE,0,0.2,1.2048693405E-05,0.0005,mlp_head,1.5,1.5,0.0,0.6367116570472720,4.56356130252078E-07,3280,,"[[256,75],[139,93]]",0.4120781527531080,,,,,,,0.5871379971504210,,,,,,,,,0.6,0.4252744913101200,0.2229246795177460,,1.0,,,,,TRUE,,0.1,0.01,0.95,0.05,5.0,10.0,0.95,0.05,5.0,0.6008363471971070,0.5535714285714290,0.587137983123242,0.4008620689655170,0.6673351390769870,256.0,75.0,139.0,93.0,0.2984014209591470,,,,,,,,,,,
4,dainty-sweep-20,40,0.6412078152753110,0.6926893426398590,244,87,115,117,,,,0.6317618091901140,vit,warmcos,f1,finished,2025-09-18T09:46:45.000Z,14640,pmrqwklq,40.0,64,,,0.55,,0.3,,,0.1,,,,,,threshold,bce,0.6,,,,,0.1863923489172680,40,0.0,0.3,1,"[256,256]",,3.04565333036E-05,1536.0,,2,8.0,10.0,8,adamw,auto,10.0,val/auc,max,,,,classification,,TRUE,0,0.1,1.04328732329E-05,0.0001,mlp_head,1.5,1.5,0.0,0.6162139177322390,4.69436639104394E-08,1640,,"[[244,87],[115,117]]",0.4120781527531080,,,,,,,0.6207352876663210,,,,,,,,,0.591,0.4481439292430880,0.2340552508831020,,1.0,,,,,TRUE,,0.1,0.01,0.95,0.05,5.0,0.0,0.95,0.05,5.0,0.6265975749631330,0.5735294117647060,0.6207352328367540,0.5043103448275860,0.6926893426398580,244.0,87.0,115.0,117.0,0.3623445825932500,,,,,,,,,,,
5,hearty-sweep-19,40,0.6714031971580820,0.7246978851963750,252,79,106,126,,,,0.6342326270209420,vit,cosine,bal_acc,finished,2025-09-18T05:45:38.000Z,14443,pmrqwklq,40.0,64,,,0.5,,0.2,,,0.1,,,,,,threshold,bce,0.6,,,,,0.2046107735821740,40,0.0,0.3,1,"[256,256]",,4.59792358641E-05,1536.0,,2,12.0,12.0,8,adamw,auto,10.0,val/auc,max,,,,classification,,TRUE,2,0.2,1.16375335389E-05,0.0005,mlp_head,1.5,1.5,0.0,0.5125992894172670,7.08693196875037E-08,1640,,"[[252,79],[106,126]]",0.4120781527531080,,,,,,,0.652216374874115,,,,,,,,,0.6,0.4491864442825320,0.2836082279682160,,1.0,,,,,TRUE,,0.1,0.03,0.95,0.05,5.0,5.0,0.95,0.05,5.0,0.6592723804333020,0.6146341463414630,0.6522163767059070,0.5431034482758620,0.7246978851963750,252.0,79.0,106.0,126.0,0.3641207815275310,,,,,,,,,,,
6,visionary-sweep-18,40,0.6341030195381880,0.7105036983019060,200,131,75,157,,,,0.6307094030910070,vit,warmcos,f1,finished,2025-09-18T01:46:59.000Z,14292,pmrqwklq,40.0,64,,,0.5,,0.2,,,0.05,,,,,,threshold,bce,0.6,,,,,0.1824473836329240,40,0.0,0.3,1,"[256,256]",,3.67055937545E-05,3072.0,,2,12.0,12.0,8,adamw,auto,10.0,val/auc,max,,,,classification,,TRUE,0,0.2,2.54750435653E-05,0.0001,mlp_head,1.0,1.5,0.0,0.6211367845535280,5.65755478363393E-08,1640,,"[[200,131],[75,157]]",0.4120781527531080,,,,,,,0.6404768824577330,,,,,,,,,0.6,0.4984545111656190,0.1919579356908800,,1.0,,,,,TRUE,,0.1,0.03,0.95,0.05,5.0,5.0,0.95,0.05,5.0,0.6362058080808080,0.5451388888888890,0.6404768725908950,0.6767241379310350,0.7105036983019060,200.0,131.0,75.0,157.0,0.5115452930728240,,,,,,,,,,,
7,expert-sweep-17,40,0.6838365896980460,0.7664730701114700,205,126,52,180,,,,0.5810919834507840,vit,cosine,bal_acc,finished,2025-09-17T21:49:41.000Z,14215,pmrqwklq,40.0,64,,,0.5,,0.1,,,0.1,,,,,,threshold,bce,0.5,,,,,0.2195302830951050,40,0.0,0.3,1,"[256,256]",,0.0001718148284321,2048.0,,2,12.0,10.0,8,adamw,auto,10.0,val/auc,max,,,,classification,,TRUE,0,0.2,1.2611824896E-05,0.0005,fc,1.5,1.5,0.0,0.5060263276100160,2.64823887878108E-07,1640,,"[[205,126],[52,180]]",0.4120781527531080,,,,,,,0.6975986957550050,,,,,,,,,0.5,0.4697049856185910,0.2756631672382360,,1.0,,,,,TRUE,,0.1,0.03,0.95,0.05,5.0,5.0,0.95,0.05,5.0,0.6929503318837260,0.5882352941176470,0.6975987081987710,0.7758620689655170,0.7664730701114700,205.0,126.0,52.0,180.0,0.5435168738898760,,,,,,,,,,,
8,fiery-sweep-16,40,0.6447602131438720,0.690931347015314,186,145,55,177,,,,0.6385111345185170,vit,cosine,bal_acc,finished,2025-09-17T17:46:11.000Z,14577,pmrqwklq,40.0,64,,,0.5,,0.2,,,0.1,,,,,,threshold,bce,0.6,,,,,0.2150574283073350,40,0.0,0.3,1,"[256,256]",,0.0003619346809016,3072.0,,2,6.0,8.0,8,adamw,split,10.0,val/auc,max,,,,classification,,TRUE,0,0.2,1.09107367017E-05,0.0001,cls,1.0,1.5,0.0,0.6395612955093380,5.57861915813251E-07,1640,,"[[186,145],[55,177]]",0.4120781527531080,,,,,,,0.6624323129653930,,,,,,,,,0.5,0.5013681650161740,0.2129023671150210,,1.0,,,,,TRUE,,0.1,0.01,0.95,0.05,5.0,10.0,0.95,0.05,5.0,0.660736836679467,0.5496894409937890,0.6624322846129810,0.7629310344827590,0.690931347015314,186.0,145.0,55.0,177.0,0.5719360568383660,,,,,,,,,,,
9,lilac-sweep-15,40,0.6642984014209590,0.7369778101885610,235,96,93,139,,,,0.6409102181593580,vit,cosine,f1,finished,2025-09-17T13:43:11.000Z,14554,pmrqwklq,40.0,64,,,0.5,,0.1,,,0.1,,,,,,threshold,bce,0.6,,,,,0.2092754319526750,40,0.0,0.3,1,"[256,256]",,9.01461544299E-05,2048.0,,2,12.0,8.0,8,adamw,split,10.0,val/auc,max,,,,classification,,TRUE,0,0.2,1.92939277056E-05,0.0005,mlp_head,1.5,1.5,0.0,0.5400835275650020,1.38945254674681E-07,1640,,"[[235,96],[93,139]]",0.4120781527531080,,,,,,,0.6545538306236270,,,,,,,,,0.6,0.5071107745170590,0.2754497230052950,,1.0,,,,,TRUE,,0.1,0.03,0.95,0.05,5.0,5.0,0.95,0.05,5.0,0.653976388168137,0.5914893617021280,0.6545538597770600,0.5991379310344830,0.7369778101885610,235.0,96.0,93.0,139.0,0.4174067495559500,,,,,,,,,,,
10,mild-sweep-14,40,0.6909413854351690,0.7563678508177940,236,95,79,153,,,,0.6327516055769390,vit,warmcos,f1,finished,2025-09-17T10:04:43.000Z,13086,pmrqwklq,40.0,32,,,0.5,,0.3,,,0.1,,,,,,threshold,bce,0.6,,,,,0.2218537991998270,40,0.0,0.3,1,"[256,256]",,0.0001438892666604,2048.0,,2,12.0,8.0,8,adamw,auto,10.0,val/auc,max,,,,classification,,TRUE,0,0.2,1.060012639E-05,0.0001,mlp_head,1.5,1.5,0.0,0.5264917612075810,2.21781294249596E-07,3280,,"[[236,95],[79,153]]",0.4120781527531080,,,,,,,0.6862368583679200,,,,,,,,,0.6,0.4682400226593020,0.3235524892807010,,1.0,,,,,TRUE,,0.1,0.01,0.95,0.05,5.0,10.0,0.95,0.05,5.0,0.6830709165386590,0.6169354838709680,0.6862368475882900,0.6594827586206900,0.7563678508177940,236.0,95.0,79.0,153.0,0.4404973357015990,,,,,,,,,,,
