"Name","trainer/epoch","val/acc","val/auc","val/cls_confmat_00","val/cls_confmat_01","val/cls_confmat_10","val/cls_confmat_11","val/loss","architecture","lr_scheduler","lr_strategy","State","Created","Runtime","Sweep","T_max","batch_size","binary_bce_from_two_logits","binary_single_logit","cal_auc_floor","cal_bootstraps","cal_ema_beta","cal_fallback","cal_init_threshold","cal_max_delta","cal_min_tp","cal_q_bounds","cal_rate_tolerance","cal_warmup_epochs","class_balance","class_counts","cls_decision","cls_loss","cls_threshold","console_epoch_log","console_iter_log","debug","debug_transforms","dropout_rate","early_terminate.min_iter","early_terminate.type","epochs","eta_min","factor","in_channels","input_shape","log_calibrated","lr","method","metric.goal","metric.name","num_classes","num_workers","parameters.T_max","parameters.architecture","parameters.batch_sizes","parameters.binary_bce_from_two_logits","parameters.binary_single_logit","parameters.cal_auc_floors","parameters.cal_bootstrapss","parameters.cal_ema_betas","parameters.cal_fallbacks","parameters.cal_init_thresholds","parameters.cal_max_deltas","parameters.cal_min_tps","parameters.cal_q_bounds","parameters.cal_rate_tolerances","parameters.cal_warmup_epochss","parameters.calibration_methods","parameters.class_balance","parameters.class_counts","parameters.cls_decision","parameters.cls_loss","parameters.cls_threshold","parameters.console_epoch_log","parameters.console_iter_log","parameters.debug","parameters.debug_transforms","parameters.dropout_rate.distribution","parameters.dropout_rate.max","parameters.dropout_rate.min","parameters.epochs","parameters.eta_min","parameters.factors","parameters.in_channels","parameters.input_shape","parameters.log_calibrated","parameters.lr.distribution","parameters.lr.max","parameters.lr.min","parameters.lr_schedulers","parameters.num_classes","parameters.num_workers","parameters.patiences","parameters.plateau_metric","parameters.plateau_mode","parameters.positive_index","parameters.run_cap","parameters.seed","parameters.task","parameters.threshold","parameters.two_pass_val","parameters.warmup_epochss","parameters.warmup_start_factors","parameters.weight_decay.distribution","parameters.weight_decay.max","parameters.weight_decay.min","patience","plateau_metric","plateau_mode","positive_index","program","run_cap","seed","task","threshold","two_pass_val","warmup_epochs","warmup_start_factor","weight_decay","decision_health_need_k","decision_health_tol","enable_decision_health","parameters.decision_health_need_k","parameters.decision_health_tol","parameters.enable_decision_health","parameters.patience","parameters.plateau_thresholds","plateau_threshold","base_lr","head_keys","head_lr_scale","head_multiplier","head_wd_scale","hidden_size","mlp_dim","num_heads","num_layers","optimizer","param_groups","parameters.base_lr.distribution","parameters.base_lr.max","parameters.base_lr.min","parameters.cls_thresholds","parameters.head_keys","parameters.head_lr_scale","parameters.head_multipliers","parameters.head_wd_scale","parameters.hidden_sizes","parameters.lr_strategys","parameters.mlp_dims","parameters.num_headss","parameters.num_layerss","parameters.optimizer","parameters.param_groups","parameters.param_groupss","parameters.patch_size","patch_size","opt/lr","train/loss","train/lr","trainer/iteration","val/cal_thr","val/cls_confmat","val/gt_pos_rate","val/pos_rate","val/prec","val/prec_0","val/prec_1","val/recall","val/recall_0","val/recall_1","val/threshold","val/bal_acc","val/f1","val/debug_pos_hist","val/debug_pos_max","val/debug_pos_median","val/debug_pos_min","val/debug_pos_q10","val/debug_pos_q90","val/debug_pos_rate@0.5","val/score_mean","val/score_std","val/search_threshold","ema_beta","head_logits","health_iters_warmup","health_rate_gain","health_warmup","health_warmup_max_delta","init_head_bias_from_prior","init_threshold_from_prior","parameters.ema_betas","parameters.head_keyss","parameters.head_logits","parameters.health_iters_warmup","parameters.health_rate_gain","parameters.health_warmup","parameters.health_warmup_max_delta","parameters.init_head_bias_from_prior","parameters.init_threshold_from_prior","parameters.lr_scheduler","parameters.posprob_mode","parameters.rate_tol_override","parameters.thr_hysteresiss","parameters.thr_max","parameters.thr_min","parameters.thr_min_tns","parameters.thr_min_tps","parameters.thr_posrate_max","parameters.thr_posrate_min","parameters.thr_warmup_epochs","parameters.thr_warmup_epochss","posprob_mode","rate_tol_override","thr_hysteresis","thr_max","thr_min","thr_min_tn","thr_min_tp","thr_posrate_max","thr_posrate_min","thr_warmup_epochs","val/max","val/mean","val/median","val/min","val/posprob_stats.max","val/posprob_stats.mean","val/posprob_stats.median","val/posprob_stats.min","val/posprob_stats/max","val/posprob_stats/mean","val/posprob_stats/median","val/posprob_stats/min","val/precision_macro","val/precision_pos","val/recall_macro","val/recall_pos","val/search_auc","val/search_confmat","val/search_confmat_00","val/search_confmat_01","val/search_confmat_10","val/search_confmat_11","val/search_pos_rate","calibration_method","parameters.sanity_check_loaders","parameters.tasks","sanity_check_loaders","tasks","val/base_rate","val/confmat","val/search_bal_acc","val/search_f1","val/search_prec","val/search_recall","val/search_recall_0","val/search_recall_1","val/val/auc","val/val/confmat","val/val/confmat_00","val/val/confmat_01","val/val/confmat_10","val/val/confmat_11","val/val/pos_rate","val/val/posprob_stats.max","val/val/posprob_stats.mean","val/val/posprob_stats.median","val/val/posprob_stats.min"
"radiant-sweep-1","40","0.5754884547069272","0.6069121783519116","162","169","70","162","0.6853765745957693","simple_cnn","warmcos","","finished","2025-09-15T11:20:51.000Z","3277","","","32","","","0.5","","0.2","","","0.1","","","","1","inverse","","threshold","bce","","","","","","0.216471716745695","","","40","","","1","[256,256]","","0.00007869055713519725","","","","2","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","classification","","true","2","0.1","0.00003808760669161325","","","","","","","","","","","","0.5","","1.5","","","","","adamw","split","","","","","","","","","","","","","","","","","","","0","0.7041778564453125","1.343840741021561e-7","3280","","[[162,169],[70,162]]","0.41207815275310833","","","","","","","","","0.5938509106636047","","","","","","","","","0.4994513988494873","0.03222662955522537","0.4855883658885955","","1","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","0.03","0.95","0.05","0","5","0.95","0.05","5","","","","","","","","","","","","","0.5938509219710386","0.48942598187311176","0.5938509219710386","0.6982758620689655","0.6069121783519116","[[162,169],[70,162]]","162","169","70","162","0.5879218472468917","f1","","","","","","","","","","","","","","","","","","","","","","",""
"fancy-sweep-2","40","0.5577264653641207","0.5779117616418378","185","146","103","129","0.686320530043708","simple_cnn","warmcos","","finished","2025-09-15T08:44:57.000Z","23353","rshgeeec","","64","","","0.55","","0.1","","","0.1","","","","2","inverse","","threshold","bce","","","","","","0.23380502788705457","","","40","","","1","[256,256]","","0.00014962391029835277","","","","2","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","classification","","true","3","0.1","0.000007086999710735872","","","","","","","","","","","","0.5","","1.5","","","","","adamw","split","","","","","","","","","","","","","","","","","","","0","0.6862286925315857","2.695109255808999e-7","1640","","[[185,146],[103,129]]","0.41207815275310833","","","","","","","","","0.5574734210968018","","","","","","","","","0.4946291148662567","0.05528957769274712","0.48779457221031186","","1","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","0.03","0.95","0.05","0","0","0.95","0.05","5","","","","","","","","","","","","","0.5557260101010102","0.4690909090909091","0.5574734347327847","0.5560344827586207","0.5779117616418377","[[185,146],[103,129]]","185","146","103","129","0.48845470692717585","bal_acc","","","","","","","","","","","","","","","","","","","","","","",""
"stellar-sweep-1","40","0.6163410301953819","0.617342952390874","212","119","97","135","0.6773941251966689","simple_cnn","warmcos","","finished","2025-09-15T02:43:11.000Z","21660","rshgeeec","","64","","","0.5","","0.2","","","0.05","","","","2","inverse","","threshold","bce","","","","","","0.2353288422261731","","","40","","","1","[256,256]","","0.0002687859434998338","","","","2","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","classification","","true","2","0.2","0.000017013883151857883","","","","","","","","","","","","0.5","","1.5","","","","","adamw","single","","","","","","","","","","","","","","","","","","","0","0.68123859167099","4.590201348662629e-7","1640","","[[212,119],[97,135]]","0.41207815275310833","","","","","","","","","0.6111899614334106","","","","","","","","","0.4927347600460053","0.08389679342508316","0.4905453933238983","","1","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.95","0.05","0","5","0.95","0.05","5","","","","","","","","","","","","","0.608790102693474","0.531496062992126","0.6111899677049693","0.5818965517241379","0.6173429523908741","[[212,119],[97,135]]","212","119","97","135","0.4511545293072824","f1","","","","","","","","","","","","","","","","","","","","","","",""
"clear-sweep-7","40","0.566607460035524","0.5760235441191791","191","140","104","128","0.688346568081114","simple_cnn","warmcos","","finished","2025-09-14T16:04:20.000Z","10599","0ct6oqib","","32","","","0.5","","0.3","","","0.2","","","","2","inverse","","threshold","bce","","","","","","0.18003567693735134","","","40","","","1","[256,256]","","0.00017524097834588687","","","","2","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","classification","","true","2","0.2","0.000007714178820007929","","","","","","","","","","","","0.5","","1.5","","","","","adamw","single","","","","","","","","","","","","","","","","","","","0","0.6667396426200867","2.992683935291973e-7","3280","","[[191,140],[104,128]]","0.41207815275310833","","","","","","","","","0.5643817186355591","","","","","","","","","0.4969366490840912","0.07158422470092773","0.48668071517944334","","1","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","0.02","0.95","0.05","5","5","0.95","0.05","5","","","","","","","","","","","","","0.5625347837085758","0.47761194029850745","0.5643817064277529","0.5517241379310345","0.5760235441191791","[[191,140],[104,128]]","191","140","104","128","0.47602131438721135","bal_acc","","","","","","","","","","","","","","","","","","","","","","",""
"fresh-sweep-6","40","0.5506216696269982","0.5640170851130326","192","139","114","118","0.6895682613054911","simple_cnn","warmcos","","finished","2025-09-14T10:05:17.000Z","21508","0ct6oqib","","64","","","0.5","","0.3","","","0.1","","","","2","inverse","","threshold","bce","","","","","","0.18117535863689177","","","40","","","1","[256,256]","","0.0001997133701291484","","","","2","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","classification","","true","2","0.2","0.00001930102419417975","","","","","","","","","","","","0.5","","1.5","","","","","adamw","split","","","","","","","","","","","","","","","","","","","0","0.6861622333526611","3.410612061688198e-7","1640","","[[192,139],[114,118]]","0.41207815275310833","","","","","","","","","0.5443405508995056","","","","","","","","","0.4963899850845337","0.06121544912457466","0.48622388849258424","","1","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","0.02","0.95","0.05","5","5","0.95","0.05","5","","","","","","","","","","","","","0.543297474631876","0.4591439688715953","0.5443405563079488","0.5086206896551724","0.5640170851130326","[[192,139],[114,118]]","192","139","114","118","0.4564831261101243","bal_acc","","","","","","","","","","","","","","","","","","","","","","",""
"neat-sweep-5","40","0.5577264653641207","0.5783414939056153","188","143","106","126","0.6879047685199313","simple_cnn","warmcos","","finished","2025-09-14T05:33:07.000Z","16294","0ct6oqib","","64","","","0.55","","0.3","","","0.2","","","","1","inverse","","threshold","bce","","","","","","0.2027830711689842","","","40","","","1","[256,256]","","0.0002598636126111387","","","","2","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","classification","","true","2","0.2","0.00001876332959628644","","","","","","","","","","","","0.5","","1.5","","","","","adamw","split","","","","","","","","","","","","","","","","","","","0","0.6896359920501709","4.43782993092691e-7","1640","0.4875077999591827","[[188,143],[106,126]]","0.41207815275310833","","","","","","","","0.4875077999591827","0.555539608001709","","","","","","","","","0.4986633062362671","0.06925351917743683","0.4875077999591827","","1","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","0.02","0.95","0.05","5","5","0.95","0.05","5","","","","","","","","","","","","","0.5539286346508864","0.4684014869888476","0.5555396395457861","0.5431034482758621","0.5783414939056153","[[188,143],[106,126]]","188","143","106","126","0.477797513321492","bal_acc","","","","","","","","","","","","","","","","","","","","","","",""
"zany-sweep-4","40","0.5115452930728241","0.5455385977706011","131","200","75","157","0.6916001902686225","simple_cnn","warmcos","","finished","2025-09-14T03:03:41.000Z","8947","0ct6oqib","","32","","","0.5","","0.1","","","0.2","","","","2","inverse","","threshold","bce","","","","","","0.2395832867228611","","","40","","","1","[256,256]","","0.000053862707503418265","","","","2","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","classification","","true","2","0.2","0.000005393711168975688","","","","","","","","","","","","0.5","","1.5","","","","","adamw","split","","","","","","","","","","","","","","","","","","","0","0.6793921589851379","9.19842270788108e-8","3280","0.48372258076667785","[[131,200],[75,157]]","0.41207815275310833","","","","","","","","0.48372258076667785","0.5362472534179688","","","","","","","","","0.49847280979156494","0.0265802089124918","0.48372258076667785","","1","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","0.02","0.95","0.05","5","10","0.95","0.05","5","","","","","","","","","","","","","0.5378491202306166","0.4397759103641457","0.5362472653401396","0.6767241379310345","0.5455385977706011","[[131,200],[75,157]]","131","200","75","157","0.6341030195381883","bal_acc","","","","","","","","","","","","","","","","","","","","","","",""
"sparkling-sweep-3","40","0.5328596802841918","0.5445749557245547","190","141","122","110","0.6915012862947252","simple_cnn","warmcos","","finished","2025-09-14T00:28:06.000Z","9315","0ct6oqib","","64","","","0.55","","0.1","","","0.1","","","","2","inverse","","threshold","bce","","","","","","0.1889874504570761","","","40","","","1","[256,256]","","0.00008046533162006531","","","","2","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","classification","","true","3","0.1","0.000024090244918187197","","","","","","","","","","","","0.5","","1.5","","","","","adamw","split","","","","","","","","","","","","","","","","","","","0","0.6891750693321228","1.4493863954534412e-7","1640","0.5","[[190,141],[122,110]]","0.41207815275310833","","","","","","","","0.5","0.5240780115127563","","","","","","","","","0.4984722137451172","0.02864326536655426","0.5","","1","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","0.02","0.95","0.05","0","10","0.95","0.05","5","","","","","","","","","","","","","0.523610685463275","0.4382470119521912","0.5240780289613501","0.4741379310344827","0.5445749557245547","[[190,141],[122,110]]","190","141","122","110","0.44582593250444047","f1","","","","","","","","","","","","","","","","","","","","","","",""
"happy-sweep-2","40","0.5879218472468917","0.5900875091155329","196","135","97","135","0.6848121318552229","simple_cnn","warmcos","","finished","2025-09-13T22:05:27.000Z","8538","0ct6oqib","","32","","","0.5","","0.3","","","0.2","","","","1","inverse","","threshold","bce","","","","","","0.183012200252283","","","40","","","1","[256,256]","","0.00028433427058407345","","","","2","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","classification","","true","2","0.2","0.000020787306046452388","","","","","","","","","","","","0.5","","1.5","","","","","adamw","single","","","","","","","","","","","","","","","","","","","0","0.6643269658088684","4.855728448116654e-7","3280","0.48463770875930784","[[196,135],[97,135]]","0.41207815275310833","","","","","","","","0.48463770875930784","0.587020754814148","","","","","","","","","0.49525606632232666","0.07836826145648956","0.48463770875930784","","1","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","0.02","0.95","0.05","5","10","0.95","0.05","5","","","","","","","","","","","","","0.5844709897610921","0.5","0.587020783414939","0.5818965517241379","0.5900875091155329","[[196,135],[97,135]]","196","135","97","135","0.47957371225577267","bal_acc","","","","","","","","","","","","","","","","","","","","","","",""
"dainty-sweep-1","40","0.5381882770870338","0.5641473070111471","179","152","108","124","0.6898237235016293","simple_cnn","warmcos","","finished","2025-09-13T19:42:53.000Z","8541","0ct6oqib","","32","","","0.5","","0.3","","","0.2","","","","1","inverse","","threshold","bce","","","","","","0.20533301860506703","","","40","","","1","[256,256]","","0.0001011260581647546","","","","2","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","classification","","true","3","0.2","0.000005200892900204534","","","","","","","","","","","","0.5","","1.5","","","","","adamw","single","","","","","","","","","","","","","","","","","","","0","0.667054295539856","1.8215389159382894e-7","3280","0.4846910823345184","[[179,152],[108,124]]","0.41207815275310833","","","","","","","","0.4846910823345184","0.5376341342926025","","","","","","","","","0.49766677618026733","0.05459188669919968","0.4846910823345184","","1","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","0.02","0.95","0.05","0","5","0.95","0.05","5","","","","","","","","","","","","","0.5364843710548907","0.4492753623188406","0.5376341285550579","0.5344827586206896","0.5641473070111471","[[179,152],[108,124]]","179","152","108","124","0.49023090586145646","bal_acc","","","","","","","","","","","","","","","","","","","","","","",""
