"Name","trainer/epoch","val/acc","val/auc","val/cls_confmat_00","val/cls_confmat_01","val/cls_confmat_10","val/cls_confmat_11","val/loss","architecture","State","Created","Runtime","Sweep","T_max","batch_size","binary_bce_from_two_logits","binary_single_logit","cal_auc_floor","cal_bootstraps","cal_ema_beta","cal_fallback","cal_init_threshold","cal_max_delta","cal_min_tp","cal_q_bounds","cal_rate_tolerance","cal_warmup_epochs","calibration_method","class_balance","cls_decision","cls_loss","cls_threshold","console_epoch_log","console_iter_log","debug","debug_transforms","enable_decision_health","epochs","eta_min","factor","head_lr_scale","head_wd_scale","health_warmup","in_channels","init_head_bias_from_prior","init_threshold_from_prior","input_shape","log_calibrated","lr","lr_scheduler","method","metric.goal","metric.name","num_classes","num_workers","optimizer","param_groups","parameters.T_max","parameters.architecture","parameters.batch_sizes","parameters.binary_bce_from_two_logits","parameters.binary_single_logit","parameters.cal_auc_floors","parameters.cal_bootstrapss","parameters.cal_ema_betas","parameters.cal_fallbacks","parameters.cal_init_thresholds","parameters.cal_max_deltas","parameters.cal_min_tps","parameters.cal_q_bounds","parameters.cal_rate_tolerances","parameters.cal_warmup_epochss","parameters.calibration_methods","parameters.class_balance","parameters.cls_decision","parameters.cls_loss","parameters.cls_thresholds","parameters.console_epoch_log","parameters.console_iter_log","parameters.debug","parameters.debug_transforms","parameters.enable_decision_health","parameters.epochs","parameters.eta_min","parameters.factors","parameters.head_lr_scale","parameters.head_wd_scale","parameters.health_warmup","parameters.in_channels","parameters.init_head_bias_from_prior","parameters.init_threshold_from_prior","parameters.input_shape","parameters.log_calibrated","parameters.lr.distribution","parameters.lr.max","parameters.lr.min","parameters.lr_schedulers","parameters.num_classes","parameters.num_workers","parameters.optimizer","parameters.param_groupss","parameters.patience","parameters.plateau_metric","parameters.plateau_mode","parameters.plateau_thresholds","parameters.positive_index","parameters.pretraineds","parameters.rate_tol_override","parameters.run_cap","parameters.seed","parameters.task","parameters.thr_max","parameters.thr_min","parameters.thr_min_tns","parameters.thr_min_tps","parameters.thr_posrate_max","parameters.thr_posrate_min","parameters.thr_warmup_epochss","parameters.two_pass_val","parameters.warmup_epochss","parameters.warmup_start_factors","parameters.weight_decay.distribution","parameters.weight_decay.max","parameters.weight_decay.min","patience","plateau_metric","plateau_mode","plateau_threshold","positive_index","pretrained","program","rate_tol_override","run_cap","seed","task","thr_max","thr_min","thr_min_tn","thr_min_tp","thr_posrate_max","thr_posrate_min","thr_warmup_epochs","two_pass_val","warmup_epochs","warmup_start_factor","weight_decay","dropout_rate","head_keys","lr_strategy","opt/lr","train/loss","train/lr","trainer/iteration","val/bal_acc","val/cls_confmat","val/debug_pos_hist","val/debug_pos_hist/max","val/debug_pos_hist/mean","val/debug_pos_hist/min","val/debug_pos_max","val/debug_pos_median","val/debug_pos_min","val/debug_pos_q10","val/debug_pos_q90","val/debug_pos_rate@0.5","val/gt_pos_rate","val/precision_macro","val/precision_pos","val/recall_macro","val/recall_pos","val/score_mean","val/score_std","val/search_auc","val/search_confmat","val/search_confmat_00","val/search_confmat_01","val/search_confmat_10","val/search_confmat_11","val/search_pos_rate","val/search_threshold","val/cal_thr","val/threshold"
"crisp-sweep-24","40","0.7495559502664298","0.8343968121679342","245","86","55","177","0.8305820425351461","densenet121","finished","2025-09-18T23:18:02.000Z","13087","jzfza3iu","40","32","false","true","0.55","25","0.3","keep_last","0.6","0.2","20","[0.1,0.9]","0.2","1","rate_match","inverse","threshold","auto","0.4","true","false","true","false","true","40","0","0.3","0.5","1.5","1","1","true","false","[256,256]","true","0.00017118966588196727","warmcos","","","","2","8","adamw","split","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","val/loss","min","0.0005","1","true","","0.1","20","42","classification","0.95","0.05","5","10","0.95","0.05","2","true","3","0.2","0.000028748141019587863","","","","0","0.020415401086211205","3.0835636637042184e-7","3280","0.7515561580657959","[[245,86],[55,177]]","[1,15,40,44,32,30,39,33,43,31,53,29,37,43,28,25,18,15,7,0]","53","28.15","0","0.9438369870185852","0.4573563039302826","0.04601939395070076","0.15022769570350647","0.7630128860473633","0.4529307186603546","0.41207815275310833","0.7448352344740177","0.6730038022813688","0.7515561516824669","0.7629310344827587","0.4450214207172394","0.4315580427646637","0.8343968121679342","[[245,86],[55,177]]","245","86","55","177","0.46714031971580816","0.4","",""
"super-sweep-23","40","0.7193605683836589","0.8084305656839255","243","88","70","162","0.9363939497205946","densenet121","finished","2025-09-18T19:16:05.000Z","14471","jzfza3iu","40","64","false","true","0.55","0","0.3","keep_last","0.6","0.1","5","[0.1,0.9]","0.12","2","youden","inverse","threshold","auto","0.5","true","false","true","false","true","40","0","0.3","0.5","1.5","1","1","true","false","[256,256]","true","0.00014205680871147246","none","","","","2","8","adamw","split","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","val/loss","min","0.0005","1","true","","0.1","20","42","classification","0.95","0.05","5","10","0.95","0.05","1","true","3","0.1","0.000006918238820807764","","","","0.00014205680871147246","0.03546461462974548","0.00014205680871147246","1640","0.7162073850631714","[[243,88],[70,162]]","[0,18,32,44,34,29,45,33,34,31,48,40,48,37,28,31,20,9,2,0]","48","28.15","0","0.938316822052002","0.4615459144115448","0.066108338534832","0.15615053474903107","0.7557649612426758","0.4671403169631958","0.41207815275310833","0.7121789137380192","0.648","0.7162074174393166","0.6982758620689655","0.45082294940948486","0.4340144395828247","0.8084305656839255","[[243,88],[70,162]]","243","88","70","162","0.44404973357015987","0.5","",""
"volcanic-sweep-22","40","0.7637655417406749","0.8238879049901031","269","62","71","161","0.9217109349038866","densenet121","finished","2025-09-18T15:34:28.000Z","13273","jzfza3iu","40","32","false","true","0.55","25","0.3","keep_last","0.6","0.1","10","[0.1,0.9]","0.12","3","youden","inverse","threshold","auto","0.6","true","false","true","false","true","40","0","0.3","0.5","1.5","1","1","true","false","[256,256]","true","0.00011960261730841317","warmcos","","","","2","8","adamw","single","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","val/loss","min","0.0005","1","true","","0.1","20","42","classification","0.95","0.05","0","10","0.95","0.05","2","true","3","0.1","0.00003228242353578389","","","","0","0.02333570457994938","2.154348995986871e-7","3280","0.7533271312713623","[[269,62],[71,161]]","[0,10,31,38,33,35,32,35,61,25,49,42,38,41,38,23,20,9,3,0]","61","28.15","0","0.9194111227989196","0.462885320186615","0.06322114914655685","0.17471536993980408","0.748346745967865","0.4671403169631958","0.41207815275310833","0.7565747823793194","0.7219730941704036","0.7533271694968227","0.6939655172413793","0.4310164451599121","0.4377465546131134","0.8238879049901031","[[269,62],[71,161]]","269","62","71","161","0.3960923623445826","0.6","",""
"easy-sweep-21","40","0.7655417406749556","0.849411397020523","271","60","72","160","0.7611654798189799","densenet121","finished","2025-09-18T11:50:05.000Z","13433","jzfza3iu","40","32","false","true","0.55","25","0.3","keep_last","0.4","0.1","5","[0.1,0.9]","0.2","3","rate_match","inverse","threshold","auto","0.6","true","false","true","false","true","40","0","0.3","0.5","1.5","1","1","true","false","[256,256]","true","0.00021489685648108303","warmcos","","","","2","8","adamw","split","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","val/loss","min","0.0005","1","true","","0.1","20","42","classification","0.95","0.05","5","10","0.95","0.05","2","true","3","0.1","0.00004281068381080667","","","","0","0.019701415672898293","3.870841938240677e-7","3280","0.7541931867599487","[[271,60],[72,160]]","[0,11,24,29,39,41,37,33,37,38,43,35,42,39,44,24,24,15,6,2]","44","28.15","0","0.9544016122817992","0.4913605749607086","0.05395728722214699","0.18302176892757416","0.7790764570236206","0.48667851090431213","0.41207815275310833","0.7586800954147893","0.7272727272727273","0.7541931451192833","0.6896551724137931","0.4134092032909394","0.4295517504215241","0.849411397020523","[[271,60],[72,160]]","271","60","72","160","0.3907637655417407","0.6","",""
"valiant-sweep-20","40","0.7495559502664298","0.8352041879362433","247","84","57","175","0.5195847517914243","densenet121","finished","2025-09-18T07:48:46.000Z","14451","jzfza3iu","40","64","false","true","0.55","25","0.3","rate_match","0.5","0.2","10","[0.1,0.9]","0.2","2","youden","inverse","threshold","auto","0.5","true","false","true","false","true","40","0","0.3","0.5","1.5","1","1","true","false","[256,256]","true","0.00008946988550827922","plateau","","","","2","8","adamw","split","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","val/loss","min","0.0005","1","true","","0.1","20","42","classification","0.95","0.05","5","10","0.95","0.05","2","true","2","0.2","0.00000611137205791883","","","","5.870119188198198e-9","0.17223963141441345","5.870119188198198e-9","1640","0.750266969203949","[[247,84],[57,175]]","[0,2,17,31,29,39,48,38,39,48,49,50,39,30,47,27,22,8,0,0]","50","28.15","0","0.8902513384819031","0.490862250328064","0.06918048113584518","0.2068392038345337","0.7517449259757996","0.4831261038780213","0.41207815275310833","0.7440878378378378","0.6756756756756757","0.7502669548911345","0.7543103448275862","0.4552916884422302","0.3521460294723511","0.8352041879362433","[[247,84],[57,175]]","247","84","57","175","0.4600355239786856","0.5","",""
"different-sweep-19","40","0.7442273534635879","0.8147463277424732","251","80","64","168","0.5323269267876943","densenet121","finished","2025-09-18T04:13:24.000Z","12896","jzfza3iu","40","32","false","true","0.55","0","0.3","rate_match","0.6","0.2","10","[0.1,0.9]","0.12","3","youden","inverse","threshold","auto","0.5","true","false","true","false","true","40","0","0.3","0.5","1.5","1","1","true","false","[256,256]","true","0.00007788744013809792","plateau","","","","2","8","adamw","split","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","val/loss","min","0.0001","1","true","","0.1","20","42","classification","0.95","0.05","5","5","0.95","0.05","3","true","3","0.2","0.00002997856858849197","","","","5.110194947460603e-9","0.24607864022254944","5.110194947460603e-9","3280","0.7412230372428894","[[251,80],[64,168]]","[6,24,42,45,43,41,29,37,35,41,45,29,41,31,34,11,19,7,3,0]","45","28.15","0","0.940141260623932","0.4218423366546631","0.030581528320908543","0.13209693133831024","0.7192919850349426","0.3907637596130371","0.41207815275310833","0.7371223758320532","0.6774193548387096","0.7412230440670904","0.7241379310344828","0.451880395412445","0.3180914521217346","0.8147463277424732","[[251,80],[64,168]]","251","80","64","168","0.4404973357015986","0.5","",""
"apricot-sweep-18","40","0.7264653641207816","0.8217522658610272","226","105","49","183","0.5292470852533976","densenet121","finished","2025-09-18T00:14:28.000Z","14282","jzfza3iu","40","64","false","true","0.55","25","0.3","keep_last","0.6","0.2","20","[0.1,0.9]","0.15","2","f1","inverse","threshold","auto","0.4","true","false","true","false","true","40","0","0.3","0.5","1.5","1","1","true","false","[256,256]","true","0.00010518769164164684","plateau","","","","2","8","adamw","split","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","val/loss","min","0.0005","1","true","","0.1","20","42","classification","0.95","0.05","5","5","0.95","0.05","1","true","0","0.2","0.000021727232588478175","","","","6.901364448608447e-9","0.2169402092695236","6.901364448608447e-9","1640","0.7357862591743469","[[226,105],[49,183]]","[0,8,21,39,31,34,34,42,42,29,29,40,34,38,37,50,25,24,6,0]","50","28.15","0","0.9319227933883668","0.5022946000099182","0.062258753925561905","0.18828801810741425","0.7988996505737305","0.50266432762146","0.41207815275310833","0.7286174242424241","0.6354166666666666","0.7357862798208147","0.7887931034482759","0.43653953075408936","0.3370138108730316","0.8217522658610272","[[226,105],[49,183]]","226","105","49","183","0.5115452930728241","0.4","",""
"exalted-sweep-17","40","0.7442273534635879","0.8325085946452756","254","77","67","165","0.8215655419561598","densenet121","finished","2025-09-17T20:17:23.000Z","14198","jzfza3iu","40","64","false","true","0.55","0","0.2","keep_last","0.5","0.1","10","[0.1,0.9]","0.1","3","f1","inverse","threshold","auto","0.5","true","false","true","false","true","40","0","0.3","0.5","1.5","1","1","true","false","[256,256]","true","0.00021846522503915543","warmcos","","","","2","8","adamw","split","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","val/loss","min","0.0001","1","true","","0.1","20","42","classification","0.95","0.05","5","10","0.95","0.05","1","true","3","0.2","0.00002300587515054684","","","","0","0.022304903715848923","3.935117381315397e-7","1640","0.7392892837524414","[[254,77],[67,165]]","[0,2,16,16,42,36,60,36,35,43,42,43,44,45,43,29,23,8,0,0]","60","28.15","0","0.8973537087440491","0.4943694472312927","0.08199509233236313","0.2276775538921356","0.7533473372459412","0.4920071065425873","0.41207815275310833","0.73654772019258","0.6818181818181818","0.7392892488800917","0.7112068965517241","0.4282169640064239","0.4313468039035797","0.8325085946452756","[[254,77],[67,165]]","254","77","67","165","0.4298401420959147","0.5","",""
"clean-sweep-16","40","0.7015985790408525","0.7910198979060319","236","95","73","159","0.56614265176985","densenet121","finished","2025-09-17T16:37:40.000Z","13157","jzfza3iu","40","32","false","true","0.55","25","0.2","keep_last","0.4","0.2","20","[0.1,0.9]","0.12","3","youden","inverse","threshold","auto","0.6","true","false","true","false","true","40","0","0.5","0.5","1.5","1","1","true","false","[256,256]","true","0.00012616536096523315","plateau","","","","2","8","adamw","split","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","val/loss","min","0.0001","1","false","","0.1","20","42","classification","0.95","0.05","5","10","0.95","0.05","2","true","2","0.1","0.000006117954170263841","","","","1.5401045039701312e-8","0.24368587136268616","1.5401045039701312e-8","3280","0.6991678476333618","[[236,95],[73,159]]","[0,0,0,0,1,5,5,11,18,33,30,60,57,84,76,77,69,34,3,0]","84","28.15","0","0.931017279624939","0.6881789565086365","0.2324615567922592","0.4685089886188507","0.8308635950088501","0.8703374862670898","0.41207815275310833","0.6948691486379737","0.6259842519685039","0.699167882071049","0.6853448275862069","0.46921518445014954","0.31588244438171387","0.7910198979060319","[[236,95],[73,159]]","236","95","73","159","0.4511545293072824","0.5499999999999999","",""
"snowy-sweep-15","40","0.7353463587921847","0.7955125533909784","263","68","81","151","0.8496938877635531","densenet121","finished","2025-09-17T12:34:38.000Z","14553","jzfza3iu","40","64","false","true","0.5","0","0.1","rate_match","0.6","0.05","20","[0.1,0.9]","0.2","3","youden","inverse","threshold","auto","0.5","true","false","true","false","true","40","0","0.3","0.5","1.5","1","1","true","false","[256,256]","true","0.00004714187955402579","none","","","","2","8","adamw","split","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","val/loss","min","0.0005","1","true","","0.1","20","42","classification","0.95","0.05","0","5","0.95","0.05","2","true","2","0.2","0.0000074800114853455806","","","","0.00004714187955402579","0.04378665238618851","0.00004714187955402579","1640","0.7227120399475098","[[263,68],[81,151]]","[0,0,0,6,17,32,36,59,58,47,60,51,58,57,46,19,14,3,0,0]","60","28.15","0","0.8874595165252686","0.5232692956924438","0.1554037779569626","0.3025195598602295","0.726361870765686","0.547069251537323","0.41207815275310833","0.7270163003079537","0.6894977168949772","0.7227120012501302","0.6508620689655172","0.3862833082675934","0.4161290228366852","0.7955125533909784","[[263,68],[81,151]]","263","68","81","151","0.38898756660746","0.5","",""
