"Name","trainer/epoch","val/acc","val/auc","val/cls_confmat_00","val/cls_confmat_01","val/cls_confmat_10","val/cls_confmat_11","val/loss","val/dice","val/iou","val/multi","calibration_method","architecture","lr_strategy","lr_scheduler","plateau_metric","State","Created","Runtime","Sweep","T_max","alpha","batch_size","beta","binary_bce_from_two_logits","binary_single_logit","cal_auc_floor","cal_bootstraps","cal_ema_beta","cal_fallback","cal_init_threshold","cal_max_delta","cal_min_tp","cal_q_bounds","cal_rate_tolerance","cal_warmup_epochs","class_balance","class_counts","cls_decision","cls_loss","cls_threshold","console_epoch_log","console_iter_log","debug","debug_transforms","dropout_rate","early_terminate.min_iter","early_terminate.type","epochs","eta_min","factor","in_channels","input_shape","log_calibrated","lr","method","metric.goal","metric.name","multi_weight","num_classes","num_workers","parameters.T_max","parameters.alphas","parameters.architecture","parameters.batch_sizes","parameters.betas","parameters.binary_bce_from_two_logits","parameters.binary_single_logit","parameters.cal_auc_floors","parameters.cal_bootstrapss","parameters.cal_ema_betas","parameters.cal_fallbacks","parameters.cal_init_thresholds","parameters.cal_max_deltas","parameters.cal_min_tps","parameters.cal_q_bounds","parameters.cal_rate_tolerances","parameters.cal_warmup_epochss","parameters.calibration_methods","parameters.class_balance","parameters.class_counts","parameters.cls_decision","parameters.cls_loss","parameters.cls_threshold","parameters.console_epoch_log","parameters.console_iter_log","parameters.debug","parameters.debug_transforms","parameters.dropout_rate.distribution","parameters.dropout_rate.max","parameters.dropout_rate.min","parameters.epochs","parameters.eta_min","parameters.factors","parameters.in_channels","parameters.input_shape","parameters.log_calibrated","parameters.lr.distribution","parameters.lr.max","parameters.lr.min","parameters.lr_schedulers","parameters.multi_weight","parameters.num_classes","parameters.num_workers","parameters.patiences","parameters.plateau_metric","parameters.plateau_mode","parameters.positive_index","parameters.run_cap","parameters.seed","parameters.seg_threshold","parameters.task","parameters.threshold","parameters.two_pass_val","parameters.warmup_epochss","parameters.warmup_start_factors","parameters.weight_decay.distribution","parameters.weight_decay.max","parameters.weight_decay.min","patience","plateau_mode","positive_index","program","run_cap","seed","seg_threshold","task","threshold","two_pass_val","warmup_epochs","warmup_start_factor","weight_decay","parameters.patience","parameters.plateau_thresholds","plateau_threshold","head_lr_scale","head_wd_scale","param_groups","parameters.head_lr_scale","parameters.head_wd_scale","parameters.lr_strategys","parameters.param_groupss","opt/lr","train/loss","train/lr","trainer/iteration","val/cal_thr","val/cls_confmat","val/gt_pos_rate","val/pos_rate","val/prec","val/prec_0","val/prec_1","val/recall","val/recall_0","val/recall_1","val/seg_confmat","val/seg_confmat_00","val/seg_confmat_01","val/seg_confmat_10","val/seg_confmat_11","val/threshold","val/dice_0","val/dice_1","val/iou_0","val/iou_1","val/multi_0","val/multi_1","val/bal_acc","val/f1","val/debug_pos_hist","val/debug_pos_max","val/debug_pos_median","val/debug_pos_min","val/debug_pos_q10","val/debug_pos_q90","val/debug_pos_rate@0.5","val/score_mean","val/score_std","val/search_threshold","enable_decision_health","head_keys","health_iters_warmup","health_rate_gain","health_warmup","health_warmup_max_delta","init_head_bias_from_prior","init_threshold_from_prior","optimizer","parameters.enable_decision_health","parameters.head_keys","parameters.head_keyss","parameters.health_iters_warmup","parameters.health_rate_gain","parameters.health_warmup","parameters.health_warmup_max_delta","parameters.init_head_bias_from_prior","parameters.init_threshold_from_prior","parameters.lr_scheduler","parameters.multi_weights","parameters.optimizer","parameters.param_groups","parameters.rate_tol_override","parameters.seg_thresholds","parameters.thr_hysteresiss","parameters.thr_max","parameters.thr_min","parameters.thr_min_tns","parameters.thr_min_tps","parameters.thr_posrate_max","parameters.thr_posrate_min","parameters.thr_warmup_epochs","parameters.thr_warmup_epochss","rate_tol_override","thr_hysteresis","thr_max","thr_min","thr_min_tn","thr_min_tp","thr_posrate_max","thr_posrate_min","thr_warmup_epochs","lesion_channel","parameters.lesion_channel","parameters.seg_num_classes","parameters.tasks","parameters.watch_metric","seg_num_classes","tasks","watch_metric","val/max","val/mean","val/median","val/min","val/posprob_stats.max","val/posprob_stats.mean","val/posprob_stats.median","val/posprob_stats.min","val/posprob_stats/max","val/posprob_stats/mean","val/posprob_stats/median","val/posprob_stats/min","val/precision_macro","val/precision_pos","val/recall_macro","val/recall_pos","val/search_auc","val/search_confmat","val/search_confmat_00","val/search_confmat_01","val/search_confmat_10","val/search_confmat_11","val/search_pos_rate","val/seg/dice","val/seg/dice_0","val/seg/dice_1","val/seg/iou","val/seg/iou_0","val/seg/iou_1","val/seg/seg_confmat","val/seg/seg_confmat_00","val/seg/seg_confmat_01","val/seg/seg_confmat_10","val/seg/seg_confmat_11","val/dice_lesion","val/iou_lesion"
"gallant-sweep-2","40","0.6494661921708185","0.7089496606112919","204","127","70","161","1.409290783935123","0.48753361171075255","0.4756105225375116","0.5428876239358874","f1","multitask_unet","","warmcos","val/auc","finished","2025-09-14T01:58:55.000Z","27626","wcsbmars","40","2","32","1","","","0.5","","0.1","","","0.2","10","","","3","inverse","","threshold","","","","","","","0.22184691827551176","","","40","0","0.3","1","[256,256]","","0.00017352561751048155","","","","0.75","2","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","max","","","","","0.5","multitask","","true","3","0.1","0.000011663023786484851","","","0.0005","0.5","1.5","split","","","","","0","1.589954137802124","3.1256401262333513e-7","3240","0.5","[[204,127],[70,161]]","0.4110320284697509","","","","","","","","[[81,1795993],[2251,35032907]]","81","1795993","2251","35032907","0.5","0.0000900797706413346","0.9749771436508636","0.00004504191400330864","0.95117600316102","","","0.656641960144043","","","","","","","","","0.4938916563987732","0.2078409045934677","0.5","","","","","","","","","adamw","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","0.95","0.05","0","10","0.95","0.05","5","","","","","","","","","","","","","","","","","","","","","0.6517766626115167","0.5590277777777778","0.6566419481827337","0.696969696969697","0.7089496606112919","[[204,127],[70,161]]","204","127","70","161","0.5124555160142349","0.487534203144979","0.00009119201869658802","0.9749772142712614","0.4756108678392477","0.00004559808843916075","0.9511761375900564","[[82,1795992],[2247,35032911]]","82","1795992","2247","35032911","",""
"devout-sweep-1","40","0.6192170818505338","0.6979375106263324","179","152","62","169","0.9228613641526964","0.4876097441203122","0.47562694581455855","0.5612244623974193","youden","multitask_unet","","warmcos","val/auc","finished","2025-09-13T19:43:05.000Z","22534","wcsbmars","40","1","64","1","","","0.5","","0.1","","","0.2","10","","","3","inverse","","threshold","","","","","","","0.2225076994611875","","","40","0","0.3","1","[256,256]","","0.00014625722079392574","","","","0.65","2","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","max","","","","","0.55","multitask","","true","3","0.2","0.000036191633561502746","","","0.0001","0.5","1.5","split","","","","","0","0.9770675897598268","2.634466568241729e-7","1600","0.5","[[179,152],[62,169]]","0.4110320284697509","","","","","","","","[[246,1795828],[4571,35030587]]","246","1795828","4571","35030587","0.5","0.00027319810027369787","0.9749462901403508","0.00013661771198653815","0.9511172739171304","","","0.6361936330795288","","","","","","","","","0.5033261179924011","0.16510510444641113","0.5","","","","","","","","","adamw","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","0.95","0.05","5","10","0.95","0.05","5","","","","","","","","","","","","","","","","","","","","","0.6346091699952172","0.5264797507788161","0.6361936150455788","0.7316017316017316","0.6979375106263324","[[179,152],[62,169]]","179","152","62","169","0.5711743772241993","0.4876097297043288","0.00027319779687077464","0.9749462616117868","0.4756269185876355","0.00013661756024362353","0.9511172196150274","[[246,1795828],[4573,35030585]]","246","1795828","4573","35030585","",""
"cosmic-sweep-2","40","0.6316725978647687","0.7106237166660128","218","113","94","137","0.7879648009936014","0.4875040752707907","0.4756175139620635","0.5432839856195962","f1","multitask_unet","","warmcos","val/auc","finished","2025-09-13T12:22:54.000Z","21659","ekqx9ym9","40","1","32","1","","","0.5","","0.3","","","0.1","10","","","3","inverse","","threshold","","","","","","","0.188356965089063","","","40","0","0.5","1","[256,256]","","0.0005403609974940389","","","","0.75","2","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","max","","","","","0.55","multitask","","true","0","0.2","0.000033159932830796066","","","0.0005","0.5","1.5","split","","","","","0","0.8869724273681641","8.328763094540993e-7","3240","0.5","[[218,113],[94,137]]","0.4110320284697509","","","","","","","","[[0,1796074],[0,35035158]]","0","1796074","0","35035158","0.5","0","0.9750081505415814","0","0.951235027924127","","","0.6258419752120972","","","","","","","","","0.4668043255805969","0.21437934041023257","0.5","","","","","","","","","adamw","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","0.95","0.05","0","10","0.95","0.05","5","","","","","","","","","","","","","","","","","","","","","0.6233589743589744","0.548","0.6258419324884581","0.5930735930735931","0.7106237166660128","[[218,113],[94,137]]","218","113","94","137","0.4448398576512456","0.4875040752707907","0","0.9750081505415814","0.4756175139620635","0","0.951235027924127","[[0,1796074],[0,35035158]]","0","1796074","0","35035158","",""
"jolly-sweep-1","40","0.6601423487544484","0.7179084762166332","219","112","79","152","0.7007425361209445","0.493398619517287","0.48691826054541687","0.5719770693620582","youden","multitask_unet","","warmcos","val/auc","finished","2025-09-13T06:40:28.000Z","30279","","40","1","64","0.5","","","0.55","","0.2","","","0.1","10","","","2","inverse","","threshold","","","","","","","0.22564907466209733","","","40","0","0.5","1","[256,256]","","0.0002297619304231135","","","","0.65","2","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","max","","","","","0.45","multitask","","true","0","0.2","0.00003593050985158014","","","0.0001","0.5","1.5","split","","","","","0","0.6760706901550293","3.5413967616336593e-7","1600","0.5","[[219,112],[79,152]]","0.4110320284697509","","","","","","","","[[34,963228],[1702,35866268]]","34","963228","1702","35866268","0.5","0.0000704664672880151","0.986726772567286","0.00003523447506849996","0.9738012866157651","","","0.659820020198822","","","","","","","","","0.4657106101512909","0.2255002111196518","0.5","","","","","","","","","adamw","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.95","0.05","0","5","0.95","0.05","5","","","","","","","","","","","","","","","","","","","","","0.655328452308318","0.5757575757575758","0.6598200389741176","0.658008658008658","0.7179084762166332","[[219,112],[79,152]]","219","112","79","152","0.4697508896797153","0.493398619517287","0.0000704664672880151","0.986726772567286","0.48691826054541687","0.00003523447506849996","0.9738012866157651","[[34,963228],[1702,35866268]]","34","963228","1702","35866268","",""
"gentle-sweep-1","40","0.6601423487544484","0.7282797766181452","240","91","100","131","0.6795511245727539","0.4875040752707907","0.4756175139620635","0.5476980006076293","rate_match","multitask_unet","","warmcos","val/auc","finished","2025-09-13T06:22:20.000Z","21619","ekqx9ym9","40","1","32","0.5","","","0.5","","0.3","","","0.1","10","","","2","inverse","","threshold","","","","","","","0.1890315798691095","","","40","0","0.5","1","[256,256]","","0.0003714024287256843","","","","0.75","2","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","max","","","","","0.45","multitask","","true","3","0.1","0.000014797059120609823","","","0.0001","0.5","1.5","split","","","","","0","0.7664398550987244","6.689907524088773e-7","3240","0.5","[[240,91],[100,131]]","0.4110320284697509","","","","","","","","[[0,1796074],[0,35035158]]","0","1796074","0","35035158","0.5","0","0.9750081505415814","0","0.951235027924127","","","0.6460875272750854","","","","","","","","","0.4410530626773834","0.22700825333595276","0.5","","","","","","","","","adamw","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","0.95","0.05","0","10","0.95","0.05","5","","","","","","","","","","","","","","","","","","","","","0.6479862215156333","0.5900900900900901","0.6460875479002367","0.5670995670995671","0.7282797766181452","[[240,91],[100,131]]","240","91","100","131","0.39501779359430605","0.4875040752707907","0","0.9750081505415814","0.4756175139620635","0","0.951235027924127","[[0,1796074],[0,35035158]]","0","1796074","0","35035158","",""
"unique-sweep-10","40","0.6334519572953736","0.6962111403199016","220","111","95","136","0.7374030550320944","0.4933750166886289","0.48692329922604816","0.544084047596447","f1","multitask_unet","plateau","","val/multi","finished","2025-09-12T21:48:16.000Z","19552","","40","1","32","1","false","true","0.55","0","0.3","keep_last","0.4","0.2","10","[0.1,0.9]","","3","inverse","","threshold","auto","0.5","true","false","true","false","0.1804245779877496","","","40","0","0.3","1","[256,256]","true","0.0004339835435877052","","","","0.75","2","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","max","1","","20","42","0.5","multitask","","true","2","0.2","0.000020423436618836925","","","0.0001","0.5","1.5","split","","","","","0.0004339835435877052","0.7265964150428772","0.0004339835435877052","3240","0.5","[[220,111],[95,136]]","0.4110320284697509","","","","","","","","[[0,963262],[0,35867970]]","0","963262","0","35867970","0.5","0","0.9867500333772578","0","0.9738465984520964","","","0.6266986131668091","","[0,0,0,0,0,0,0,0,0,179,336,47,0,0,0,0,0,0,0,0]","0.5862045288085938","0.506909966468811","0.4740814566612244","0.4911276996135712","0.548000156879425","0.6814946532249451","0.45252031087875366","0.23621796071529388","0.5","true","[""head"",""classifier"",""mlp_head"",""fc"",""cls""]","2","0.75","1","0.2","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.02","0.95","0.05","5","0","0.95","0.05","5","","","","","","","","","","","","","","","","","","","","","0.6245099929310456","0.5506072874493927","0.6266985783602098","0.5887445887445888","0.6962111403199016","[[220,111],[95,136]]","220","111","95","136","0.4395017793594306","0.4933750166886289","0","0.9867500333772578","0.48692329922604816","0","0.9738465984520964","[[0,963262],[0,35867970]]","0","963262","0","35867970","",""
"snowy-sweep-1","40","0.6459074733096085","0.6942885915695584","212","119","80","151","0.910748991701338","0.4875577584321586","0.4756151746593178","0.5805866333439885","youden","multitask_unet","none","","val/multi","finished","2025-09-12T21:20:54.000Z","22349","7a7nhpda","40","1","32","1","false","true","0.52","0","0.1","keep_last","0.5","0.2","20","[0.1,0.9]","","1","inverse","","threshold","auto","0.5","true","false","true","false","0.20221786602354935","","","40","0","0.3","1","[256,256]","true","0.000038243560672739755","","","","0.55","2","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","max","1","","20","42","0.55","multitask","","true","2","0.2","0.00001523967572980858","","","0.0001","0.5","1.5","single","","","","","0.000038243560672739755","0.905153512954712","0.000038243560672739755","3240","0.5","[[212,119],[80,151]]","0.4110320284697509","","","","","","","","[[134,1795940],[3043,35032115]]","134","1795940","3043","35032115","0.5","0.00014895086900048964","0.9749665659953168","0.00007448098150370431","0.9511558683371318","","","0.6470814943313599","","[0,0,0,0,0,0,0,0,0,0,226,336,0,0,0,0,0,0,0,0]","0.598516583442688","0.5535754561424255","0.524438202381134","0.5375337600708008","0.5751477479934692","1","0.4755198657512665","0.17294493317604065","0.5","true","classifier","2","0.75","1","0.2","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.03","0.95","0.05","0","5","0.95","0.05","5","","","","","","","","","","","","","","","","","","","","","0.6426433282597666","0.5592592592592592","0.6470815186827271","0.6536796536796536","0.6942885915695584","[[212,119],[80,151]]","212","119","80","151","0.4804270462633452","0.48757884201980295","0.0001966966082614798","0.9749609874313444","0.4756218037750741","0.00009835797747102192","0.9511452495726772","[[177,1795897],[3475,35031683]]","177","1795897","3475","35031683","",""
"prime-sweep-9","40","0.6405693950177936","0.7096820601352323","216","115","87","144","0.7404789692825742","0.4933750166886289","0.48692329922604816","0.56908248189494","youden","multitask_unet","plateau","","val/multi","finished","2025-09-12T15:26:29.000Z","22902","","40","1","32","1","false","true","0.5","25","0.1","keep_last","0.5","0.2","10","[0.1,0.9]","","1","inverse","","threshold","auto","0.5","true","false","true","false","0.1948919210156741","","","40","0","0.3","1","[256,256]","true","0.00016075626303105412","","","","0.65","2","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","max","1","","20","42","0.55","multitask","","true","2","0.1","0.000011620862085446051","","","0.0001","0.5","1.5","single","","","","","0.00016075626303105412","0.6635640263557434","0.00016075626303105412","3240","0.5","[[216,115],[87,144]]","0.4110320284697509","","","","","","","","[[0,963262],[0,35867970]]","0","963262","0","35867970","0.5","0","0.9867500333772578","0","0.9738465984520964","","","0.6379722952842712","","[0,0,0,0,0,0,0,0,0,26,237,246,53,0,0,0,0,0,0,0]","0.6475566029548645","0.5528271794319153","0.48872631788253784","0.5097069144248962","0.5993042588233948","0.9537366628646852","0.45541703701019287","0.26147207617759705","0.5","true","[""head"",""classifier"",""mlp_head"",""fc"",""cls""]","2","0.75","1","0.2","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.02","0.95","0.05","5","0","0.95","0.05","5","","","","","","","","","","","","","","","","","","","","","0.6344279215566344","0.555984555984556","0.6379722996037196","0.6233766233766234","0.7096820601352323","[[216,115],[87,144]]","216","115","87","144","0.4608540925266904","0.4933750166886289","0","0.9867500333772578","0.48692329922604816","0","0.9738465984520964","[[0,963262],[0,35867970]]","0","963262","0","35867970","",""
"flowing-sweep-6","40","0.6548042704626335","0.7117615516407058","221","110","84","147","1.4511617951922946","0.4875459630200043","0.4756114298310664","0.5660214190372498","rate_match","multitask_unet","cosine","","val/multi","finished","2025-09-12T10:46:46.000Z","21637","kmwurezn","40","2","32","1","false","true","0.5","25","0.2","rate_match","0.5","0.2","10","[0.1,0.9]","","2","inverse","","threshold","auto","0.5","true","false","true","false","0.219869987367608","","","40","0","0.5","1","[256,256]","true","0.00005097931203869102","","","","0.65","2","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","max","1","","20","42","0.45","multitask","","true","0","0.2","0.00004784977036778817","","","0.0001","0.5","1.5","single","","","","","0.00005097931203869102","1.4380124807357788","0.00005097931203869102","3240","0.5","[[221,110],[84,147]]","0.4110320284697509","","","","","","","","[[110,1795964],[2805,35032353]]","110","1795964","2805","35032353","0.5","0.0001222909089494155","0.9749696351310592","0.00006114919346993322","0.9511617104686628","","","0.652018666267395","","[0,0,0,0,0,0,0,0,0,0,148,414,0,0,0,0,0,0,0,0]","0.5820885300636292","0.5553045868873596","0.5327260494232178","0.5435917377471924","0.5686241984367371","1","0.474825382232666","0.1921127438545227","0.5","true","[""head"",""classifier"",""mlp_head"",""fc"",""cls""]","2","0.75","1","0.2","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.03","0.95","0.05","5","10","0.95","0.05","5","","","","","","","","","","","","","","","","","","","","","0.6482872998660458","0.5719844357976653","0.6520186761878605","0.6363636363636364","0.7117615516407058","[[221,110],[84,147]]","221","110","84","147","0.45729537366548045","0.4875583968489717","0.0001489582372237742","0.9749678354607196","0.47561638471976847","0.0000744846661641731","0.9511582847733728","[[134,1795940],[2954,35032204]]","134","1795940","2954","35032204","",""
"likely-sweep-8","40","0.6423487544483986","0.7165875413609553","212","119","82","149","1.4411490559577942","0.49341007634789774","0.4869196064347164","0.5492044426011622","youden","multitask_unet","cosine","","val/multi","finished","2025-09-12T09:01:33.000Z","23091","","40","2","32","1","false","true","0.52","0","0.3","rate_match","0.4","0.1","10","[0.1,0.9]","","3","inverse","","threshold","auto","0.5","true","false","true","false","0.18331169432615396","","","40","0","0.3","1","[256,256]","true","0.0000539669949654812","","","","0.75","2","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","max","1","","20","42","0.45","multitask","","true","2","0.1","0.000033120301833532826","","","0.0005","0.5","1.5","split","","","","","0.0000539669949654812","1.3197617530822754","0.0000539669949654812","3240","0.5","[[212,119],[82,149]]","0.4110320284697509","","","","","","","","[[48,963214],[2150,35865820]]","48","963214","2150","35865820","0.5","0.00009943446647194084","0.9867207182293236","0.00004971970516214839","0.9737894931642708","","","0.6427525281906128","","[0,0,0,0,0,0,0,0,0,0,299,259,4,0,0,0,0,0,0,0]","0.6102778911590576","0.5475002527236938","0.5116478800773621","0.5259897708892822","0.5781674981117249","1","0.47947460412979126","0.25650063157081604","0.5","true","[""head"",""classifier"",""mlp_head"",""fc"",""cls""]","2","0.75","1","0.2","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.03","0.95","0.05","0","0","0.95","0.05","5","","","","","","","","","","","","","","","","","","","","","0.6385292923139405","0.5559701492537313","0.6427525143537228","0.645021645021645","0.7165875413609553","[[212,119],[82,149]]","212","119","82","149","0.4768683274021353","0.4934108520304503","0.0001015019176612301","0.9867202021432394","0.4869196207018592","0.00005075353462116112","0.9737884878690972","[[49,963213],[2188,35865782]]","49","963213","2188","35865782","",""
