architecture,lr_scheduler,calibration_method,dropout_rate,val/acc/count,val/acc/median,val/acc/mean,val/acc/std,val/acc/min,val/acc/max,val/auc/count,val/auc/median,val/auc/mean,val/auc/std,val/auc/min,val/auc/max,val/cls_confmat_00/count,val/cls_confmat_00/median,val/cls_confmat_00/mean,val/cls_confmat_00/std,val/cls_confmat_00/min,val/cls_confmat_00/max,val/cls_confmat_01/count,val/cls_confmat_01/median,val/cls_confmat_01/mean,val/cls_confmat_01/std,val/cls_confmat_01/min,val/cls_confmat_01/max,val/cls_confmat_10/count,val/cls_confmat_10/median,val/cls_confmat_10/mean,val/cls_confmat_10/std,val/cls_confmat_10/min,val/cls_confmat_10/max,val/cls_confmat_11/count,val/cls_confmat_11/median,val/cls_confmat_11/mean,val/cls_confmat_11/std,val/cls_confmat_11/min,val/cls_confmat_11/max,val/dice/count,val/dice/median,val/dice/mean,val/dice/std,val/dice/min,val/dice/max,val/iou/count,val/iou/median,val/iou/mean,val/iou/std,val/iou/min,val/iou/max,val/multi/count,val/multi/median,val/multi/mean,val/multi/std,val/multi/min,val/multi/max,val/loss/count,val/loss/median,val/loss/mean,val/loss/std,val/loss/min,val/loss/max
densenet,cosine,f1,0.196567125686653,1,0.731793960923624,0.731793960923624,,0.731793960923624,0.731793960923624,1,0.825190123971247,0.825190123971247,,0.825190123971247,0.825190123971247,1,259.0,259.0,,259,259,1,72.0,72.0,,72,72,1,79.0,79.0,,79,79,1,153.0,153.0,,153,153,0,,,,,,0,,,,,,0,,,,,,1,0.737820035881466,0.737820035881466,,0.737820035881466,0.737820035881466
densenet,cosine,rate_match,0.182912067310217,1,0.730017761989343,0.730017761989343,,0.730017761989343,0.730017761989343,1,0.806880925096364,0.806880925096364,,0.806880925096364,0.806880925096364,1,260.0,260.0,,260,260,1,71.0,71.0,,71,71,1,81.0,81.0,,81,81,1,151.0,151.0,,151,151,0,,,,,,0,,,,,,0,,,,,,1,0.755688314636548,0.755688314636548,,0.755688314636548,0.755688314636548
densenet,cosine,rate_match,,1,0.753108348134991,0.753108348134991,,0.753108348134991,0.753108348134991,1,0.82947442441921,0.82947442441921,,0.82947442441921,0.82947442441921,1,261.0,261.0,,261,261,1,70.0,70.0,,70,70,1,69.0,69.0,,69,69,1,163.0,163.0,,163,163,0,,,,,,0,,,,,,0,,,,,,1,0.773755058646202,0.773755058646202,,0.773755058646202,0.773755058646202
densenet,cosine,youden,,3,0.754884547069272,0.7501480165778567,0.011419361469500495,0.737122557726465,0.758436944937833,3,0.830789665590166,0.8338368580060426,0.015488475630909338,0.820098447754975,0.850622460672987,3,262.0,262.6666666666667,7.023769168568499,256,270,3,69.0,68.33333333333333,7.023769168568494,61,75,3,75.0,72.33333333333333,8.326663997864529,63,79,3,157.0,159.66666666666666,8.326663997864534,153,169,0,,,,,,0,,,,,,0,,,,,,3,0.700286785761515,0.72293178902732,0.11988292015945723,0.615986300839318,0.852522280481127
densenet,none,f1,,2,0.732682060390764,0.732682060390764,0.023863283912156856,0.715808170515098,0.74955595026643,2,0.8034430669861445,0.8034430669861445,0.04303855994460297,0.773010209396812,0.833875924575477,2,268.0,268.0,26.870057685088806,249,287,2,63.0,63.0,26.870057685088806,44,82,2,87.5,87.5,40.30508652763321,59,116,2,144.5,144.5,40.30508652763321,116,173,0,,,,,,0,,,,,,0,,,,,,2,0.804386816091008,0.804386816091008,0.22262563634553906,0.646966718965107,0.961806913216909
densenet,none,youden,,2,0.727353463587922,0.727353463587922,0.011303660800495637,0.719360568383659,0.735346358792185,2,0.801971559537452,0.801971559537452,0.009134414091794697,0.795512553390978,0.808430565683926,2,253.0,253.0,14.142135623730951,243,263,2,78.0,78.0,14.142135623730951,68,88,2,75.5,75.5,7.7781745930520225,70,81,2,156.5,156.5,7.7781745930520225,151,162,0,,,,,,0,,,,,,0,,,,,,2,0.893043918742074,0.893043918742074,0.06130620173911817,0.849693887763553,0.936393949720595
densenet,plateau,f1,,1,0.726465364120782,0.726465364120782,,0.726465364120782,0.726465364120782,1,0.821752265861027,0.821752265861027,,0.821752265861027,0.821752265861027,1,226.0,226.0,,226,226,1,105.0,105.0,,105,105,1,49.0,49.0,,49,49,1,183.0,183.0,,183,183,0,,,,,,0,,,,,,0,,,,,,1,0.529247085253398,0.529247085253398,,0.529247085253398,0.529247085253398
densenet,plateau,rate_match,,1,0.781527531083481,0.781527531083481,,0.781527531083481,0.781527531083481,1,0.84377278883217,0.84377278883217,,0.84377278883217,0.84377278883217,1,270.0,270.0,,270,270,1,61.0,61.0,,61,61,1,62.0,62.0,,62,62,1,170.0,170.0,,170,170,0,,,,,,0,,,,,,0,,,,,,1,0.534002007709609,0.534002007709609,,0.534002007709609,0.534002007709609
densenet,plateau,youden,,7,0.744227353463588,0.7348388733823903,0.022577397932546706,0.701598579040853,0.756660746003552,7,0.834461923116991,0.8199086958462934,0.023332080598070563,0.78548546723617,0.842991457443484,7,251.0,253.0,11.210114480533493,236,271,7,80.0,78.0,11.210114480533491,60,95,7,73.0,71.28571428571429,11.235572759681423,57,91,7,159.0,160.71428571428572,11.235572759681427,141,175,0,,,,,,0,,,,,,0,,,,,,7,0.538358093963729,0.5404117157061894,0.016767623113180478,0.519584751791424,0.56614265176985
densenet,warmcos,f1,,3,0.754884547069272,0.754292480757845,0.00978254093656502,0.744227353463588,0.763765541740675,3,0.840204708823836,0.840525922839185,0.008182665091157098,0.832508594645276,0.848864465048443,3,258.0,259.6666666666667,6.658328118479394,254,267,3,73.0,71.33333333333333,6.658328118479393,64,77,3,67.0,67.0,2.0,65,69,3,165.0,165.0,2.0,163,167,0,,,,,,0,,,,,,0,,,,,,3,0.786606722407871,0.7982438151483183,0.02019722186388868,0.786559181080924,0.82156554195616
