val/dice,calibration_method,dropout_rate,lr,val/cls_confmat_00,lr_scheduler,architecture,val/multi,Name,val/loss,val/acc,val/cls_confmat_11,train/lr,val/cls_confmat_01,val/iou,val/auc,opt/lr,val/cls_confmat_10,effective_lr
,f1,0.216197756381666,3.57491318799e-05,297,cosine,vit,,rosy-sweep-23,0.635577178663678,0.651865008880995,70,5.51013214581381e-08,34,,0.735571413688926,0.0,162,3.57491318799e-05
,f1,0.226647318268469,0.0001210157560671,230,cosine,vit,,fancy-sweep-22,0.632156643602583,0.676731793960924,151,1.8652559449413e-07,101,,0.734347327846651,0.0,81,0.0001210157560671
,bal_acc,0.208243980017416,0.000296078842628,256,warmcos,vit,,graceful-sweep-21,0.650791638427311,0.619893428063943,93,4.56356130252078e-07,75,,0.667335139076987,0.0,139,0.000296078842628
,f1,0.186392348917268,3.04565333036e-05,244,warmcos,vit,,dainty-sweep-20,0.631761809190114,0.641207815275311,117,4.69436639104394e-08,87,,0.692689342639859,0.0,115,3.04565333036e-05
,bal_acc,0.204610773582174,4.59792358641e-05,252,cosine,vit,,hearty-sweep-19,0.634232627020942,0.671403197158082,126,7.08693196875037e-08,79,,0.724697885196375,0.0,106,4.59792358641e-05
,f1,0.182447383632924,3.67055937545e-05,200,warmcos,vit,,visionary-sweep-18,0.630709403091007,0.634103019538188,157,5.65755478363393e-08,131,,0.710503698301906,0.0,75,3.67055937545e-05
,bal_acc,0.219530283095105,0.0001718148284321,205,cosine,vit,,expert-sweep-17,0.581091983450784,0.683836589698046,180,2.64823887878108e-07,126,,0.76647307011147,0.0,52,0.0001718148284321
,bal_acc,0.215057428307335,0.0003619346809016,186,cosine,vit,,fiery-sweep-16,0.638511134518517,0.644760213143872,177,5.57861915813251e-07,145,,0.690931347015314,0.0,55,0.0003619346809016
,f1,0.209275431952675,9.01461544299e-05,235,cosine,vit,,lilac-sweep-15,0.640910218159358,0.664298401420959,139,1.38945254674681e-07,96,,0.736977810188561,0.0,93,9.01461544299e-05
,f1,0.221853799199827,0.0001438892666604,236,warmcos,vit,,mild-sweep-14,0.632751605576939,0.690941385435169,153,2.21781294249596e-07,95,,0.756367850817794,0.0,79,0.0001438892666604
,bal_acc,0.227751782825344,0.0001503702494885,223,plateau,vit,,stellar-sweep-13,0.680411762661404,0.609236234458259,120,3.75925623721e-05,108,,0.631380873007605,3.75925623721e-05,112,0.0001503702494885
,bal_acc,0.23331136359254,0.0003511763023393,243,plateau,vit,,laced-sweep-12,0.669683900144365,0.587921847246892,88,0.0001755881511696,88,,0.614191582456506,0.0001755881511696,144,0.0003511763023393
,bal_acc,0.204367394138009,0.0002165963919842,94,plateau,vit,,stilted-sweep-11,0.680854956309001,0.538188277087034,209,0.0001082981959921,237,,0.628854568184186,0.0001082981959921,23,0.0002165963919842
,f1,0.233538363934889,0.0003605021758091,214,warmcos,vit,,denim-sweep-10,0.676546467675103,0.575488454706927,110,6.15648851293524e-07,117,,0.633620689655173,0.0,122,0.0003605021758091
,bal_acc,0.180954019416527,0.0007351426572318,211,cosine,vit,,solar-sweep-9,0.623628523614672,0.642984014209592,151,1.1330997353e-06,120,,0.697767996666319,0.0,81,0.0007351426572318
,f1,0.205938687971164,0.0002390852761883,241,cosine,vit,,honest-sweep-8,0.668906248278088,0.595026642984014,94,3.68510057905829e-07,90,,0.638022189811439,0.0,138,0.0002390852761883
,f1,0.202181853334573,0.000352126234046,234,cosine,vit,,giddy-sweep-7,0.610294075475799,0.664298401420959,140,5.4274383168718e-07,97,,0.736248567559121,0.0,92,0.000352126234046
,f1,0.197255362067882,0.0001254647344349,283,warmcos,vit,,divine-sweep-6,0.674829237990909,0.596802841918295,53,2.14262838939443e-07,48,,0.622017918533181,0.0,179,0.0001254647344349
,f1,0.227272660564332,4.60825998633e-05,250,warmcos,vit,,deft-sweep-5,0.680818319320679,0.580817051509769,77,7.86977210520071e-08,81,,0.609373372226274,0.0,155,4.60825998633e-05
,f1,0.205478118645647,0.0001302562950864,223,plateau,vit,,dulcet-sweep-4,0.670001877678765,0.674955595026643,157,0.0001302562950864,108,,0.744100948015418,0.0001302562950864,75,0.0001302562950864
