"Name","val_dice","val_dice_manual","val_iou","val_acc","val_auc","val_loss","epoch","val_iou_c1","val_iou_c0","val_dice_c0","val_dice_c1","val_cls_confmat_00","val_cls_confmat_01","val_cls_confmat_10","val_cls_confmat_11","State","Created","Runtime","Sweep","alpha","base_learning_rate","batch_size","beta","dropout","epochs","input_shape","l2_reg","lr_multiplier","task","config.early_stop.metric","config.early_stop.min_delta","config.early_stop.mode","config.early_stop.patience","parameters.alpha.distribution","parameters.alpha.max","parameters.alpha.min","parameters.beta.distribution","parameters.beta.max","parameters.beta.min"
"neat-sweep-6","0.6150398593903976","0.5570852160453796","0.44416041862348254","0.4511545293072824","0.48941295968330034","1.8384179340586144","16","0.4337158850697105","0.4546049521772546","0.6250562415545214","0.6050234772262738","99","232","77","155","running","2025-07-24T09:53:20.000Z","2933","36dy6q1k","1.9398071642099743","0.0002","16","0.6260322455059115","0.1871939911398716","40","[256,256]","0.00009305786117829652","0.9135797867680752","multitask","","","","","","","","","",""
"earnest-sweep-5","0.6177918953878379","0.5599627494812012","0.4469916306952405","0.46714031971580816","0.48519377018439425","1.6918872677411745","22","0.44023879001728927","0.45374447137319174","0.62424240340476","0.6113413873709157","137","194","106","126","finished","2025-07-24T08:45:04.000Z","4092","36dy6q1k","1.84322345691674","0.0002","16","0.6765452407574384","0.1846636236624987","40","[256,256]","0.00010105802893196256","1.1034232071039234","multitask","","","","","","","","","",""
"zesty-sweep-4","0.5945717372870369","0.5870503187179565","0.424607407399583","0.5008880994671403","0.5135560995937076","1.707164052959869","34","0.4716532456691748","0.3775615691299912","0.548159265750195","0.640984208823879","158","173","108","124","finished","2025-07-24T06:57:31.000Z","6445","36dy6q1k","1.8624732794370848","0.0002","32","0.971752915456806","0.19545277613600956","40","[256,256]","0.00011462534525666364","0.9557912883680678","multitask","","","","","","","","","",""
"frosty-sweep-3","0.592639889437797","0.5899918079376221","0.42293812533042263","0.4866785079928952","0.5055995416189186","1.6635640281555284","34","0.4740750560004037","0.3718011946604416","0.5420627946784556","0.6432169841971384","149","182","107","125","finished","2025-07-24T05:12:39.000Z","6285","36dy6q1k","1.9469105795115416","0.0002","32","0.612489551348139","0.20938014565599455","40","[256,256]","0.00007166373434905006","0.9274254571496418","multitask","","","","","","","","","",""
"lively-sweep-2","0.5919529301133889","0.5957168936729431","0.42282767510586233","0.522202486678508","0.504362433586832","1.622583419772702","32","0.4815142752024038","0.36414107500932086","0.5338759776100618","0.650029882616716","190","141","128","104","finished","2025-07-24T03:33:23.000Z","5952","36dy6q1k","1.983356665591456","0.0002","32","0.715163144195414","0.20309390872115052","40","[256,256]","0.000081295464546966","1.0696826306815015","multitask","","","","","","","","","",""
"amber-sweep-1","0.609609986162235","0.5494047403335571","0.4385265170363907","0.458259325044405","0.4828627982081467","1.8662024814748","27","0.42771852186002846","0.4493345122127529","0.6200563202303617","0.5991636520941085","113","218","87","145","finished","2025-07-24T02:07:31.000Z","5149","36dy6q1k","1.854847077020822","0.0002","32","0.9808443593724244","0.200097966248158","40","[256,256]","0.00011260605777037548","1.0060684120754613","multitask","","","","","","","","","",""
"magic-sweep-7","0.6133901886031305","0.5560800433158875","0.4424003849461731","0.49733570159857904","0.485870924054589","1.577378051107349","22","0.4354435392033721","0.44935723068897415","0.6200779506586728","0.6067024265475884","152","179","104","128","finished","2025-07-23T23:41:50.000Z","4054","kxpxz6hm","2","0.0002","16","2","0.2117484643916476","40","[256,256]","0.00002883856588122536","1.18803650117748","multitask","","","","","","","","","",""
"gentle-sweep-6","0.6076142308238293","0.5321041941642761","0.4369794360584637","0.47602131438721135","0.46813470153140946","1.53629065830373","22","0.4077169931916625","0.46624187892526486","0.6359685746624749","0.5792598869851836","164","167","128","104","finished","2025-07-23T22:34:25.000Z","4037","kxpxz6hm","1","0.0002","16","1","0.16129581844068494","40","[256,256]","0.00004336172769155055","1.1949201833504763","multitask","","","","","","","","","",""
"fluent-sweep-5","0.6121426603663581","0.555206298828125","0.4410969375680937","0.4600355239786856","0.4826283987915408","1.4293503430978018","22","0.4349017923713281","0.4472920827648592","0.6181089333541674","0.6061763873785488","140","191","113","119","finished","2025-07-23T21:26:17.000Z","4082","kxpxz6hm","1","0.0002","16","2","0.16238183103767795","40","[256,256]","0.000015852124199929418","1.137493433986687","multitask","","","","","","","","","",""
"bright-sweep-4","0.603628819468357","0.5510708689689636","0.4322839796445809","0.48134991119005327","0.4988214918220648","1.932172053660635","27","0.43201314375645744","0.4325548155327043","0.603892864472144","0.60336477446457","121","210","82","150","finished","2025-07-23T20:01:27.000Z","5087","kxpxz6hm","0.5","0.0002","32","2","0.15908733398082164","40","[256,256]","0.000025939076585315275","1.1981845683754933","multitask","","","","","","","","","",""
